uri,label_zh,label_en,label_es,label_fr,broader_links
http://aims.fao.org/aos/agrovoc/c_11556,伞房花越橘,highbush blueberries,Arándanos highbush,myrtille arbustive,0
http://aims.fao.org/aos/agrovoc/c_12258,窄叶越桔,lowbush blueberries,Arándanos lowbush,bleuet à feuilles étroites (myrtille),0
http://aims.fao.org/aos/agrovoc/c_1944,蔓越橘,cranberries,Arándano americano,canneberge,0
http://aims.fao.org/aos/agrovoc/c_2232,黑莓,dewberries,Mora azul,mûre bleue,0
http://aims.fao.org/aos/agrovoc/c_3333,茶藨子,gooseberries,Uva espina,groseille à maquereau,0
http://aims.fao.org/aos/agrovoc/c_3359,葡萄,grapes,Uva,raisin,0
http://aims.fao.org/aos/agrovoc/c_16502,葡萄干,raisins,Pasa,raisin sec,0
http://aims.fao.org/aos/agrovoc/c_2215,甜食葡萄,dessert grapes,Uva de postre,raisin de dessert,0
http://aims.fao.org/aos/agrovoc/c_8403,酿酒葡萄,wine grapes,Uva para vino,raisin de cuve,0
http://aims.fao.org/aos/agrovoc/c_6458,树莓,raspberries,Frambuesa,framboise,0
http://aims.fao.org/aos/agrovoc/c_6479,红醋栗,red currants,Grosella roja,groseille rouge,0
http://aims.fao.org/aos/agrovoc/c_7443,草莓,strawberries,Fresa,fraise,0
http://aims.fao.org/aos/agrovoc/c_8379,白醋栗,white currants,Grosella blanca,groseille blanche,0
http://aims.fao.org/aos/agrovoc/c_25487,桑,mulberries,Mora,mûre,0
http://aims.fao.org/aos/agrovoc/c_7655,温带水果,temperate fruits,Fruta de clima templado,fruits tempérés,0
http://aims.fao.org/aos/agrovoc/c_545,杏,apricots,Albaricoque,abricot,0
http://aims.fao.org/aos/agrovoc/c_1534,樱桃,cherries,Cereza,cerise,0
http://aims.fao.org/aos/agrovoc/c_5100,油桃,nectarines,Nectarina,nectarine,0
http://aims.fao.org/aos/agrovoc/c_5638,桃,peaches,Durazno,pêche (fruits),0
http://aims.fao.org/aos/agrovoc/c_6028,李,plums,Ciruela,prune,0
